SNname,type,ExplosionDate,R,Reference,Method,
,don't worry about type Ia,,,,,
,II -- Jack - top   Adrian -- bottom,"MJD if given, otherwise date",,link to ads reference,,
,Ib -- Thomas,,,,,
,Ic -- Macie,,,,,
,,,,,,
SN2013F,Ib/c,,,,,
SN2013E,Ia,,,,,
LSQ12gdj,Ia-SC,,,,,
SN2012ij,Ia-91bg,,,,,
SN2012ht,Ia,,,,,
SN2012hs,II,,,,,
SN2012hr,Ia,,,,,
SN2012hj,Ia,,,,,
SN2012fr,Ia,,,,,
SN2012fh,Ib/c,,,,,
SN2012dn,Ia-SC,56114,Brown_etal_2013,Brown et al. 2013 peak -20,,
SN2012dh,IIb,,,,,
SN2012da,Ia,,,,,
SN2012cw,Ic,x,,,,
SN2012cu,Ia,,,,,
SN2012cp,Ia,,,,,
SN2012ck,II,,,,,
SN2012cg,Ia-99aa,,,,,
SN2012cc,II-87K,,,,,
SN2012ca,IIn-IaCSM?,,,,,
SN2012bl,Ia,,,,,
SN2012aw,IIP,JD 2456002.5,Fraser_etal_2012,https://iopscience.iop.org/article/10.1088/2041-8205/759/1/L13,tight upper limit discover constraint,
SN2012au,Ib,55989.5,Milisavljevic_etal_2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...770L..38M/abstract,Arnett modeling,
SN2012ap,Ic,5-Feb-12,Chakraborti_etal_2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...805..187C/abstract,,
SN2012ak,II,,,,,
SN2012Z,Ia-02cx,,,,,
SN2012V,Ia,,,,,
SN2012T,Ia,,,,,
SN2012P,Ibc,,,,,
SN2012K,II,,,,,
SN2012G,Ia,,,,,
SN2012A,II,559 33.0,Tomasella_etal_2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1636T/abstract,early photometry,
PTF12gzk,Ic,MJD 2456132.763 ,Ben-Ami_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...760L..33B/abstract,,
PTF12mxx,SLSN-I,,,,,
PTF12epg,SLSN-II,,,,,
PTF12dam,SLSN-I,,,,,
PS1-12sk,Ibn,,,,,
PTF12mkp,SLSN-II,,,,,
PTF11iqb,IIn,,,,,
,,,,,,
SN2011ke,SLSN-I,,,,,
SN2011js,IIn,,,,,
SN2011ja,IIP,,,,,
,,,,,,
SN2011iy,Ia,,,,,
SN2011iw,IIn,,,,,
SN2011iv,Ia,,,,,
SN2011it,Ic,x,,,,
SN2011im,Ia,,,,,
SN2011ia,Ia,,,,,
SN2011hw,Ibn,,,,,
SN2011ht,IIn,,,,,
SN2011hs,IIb,,,,,
SN2011hj,IIP,,,,,
SN2011hg,IIb,,,,,
SN2011hb,Ia,,,,,
SN2011gu,Ia,,,,,
SN2011fs,Ia,,,,,
SN2011fi,II,,,,,
SN2011fe,Ia,,,,,
SN2011ek,Ia-91bg,,,,,
SN2011ei,IIb,,,,,
SN2011eh,Ia-91bg,,,,,
SN2011ef,IIb,,,,,
SN2011dn,Ia-91T,,,,,
SN2011dm,Ia,,,,,
